"Отметка времени","What dorm do you live in?","Your dormitory living status?","How would you rate the access system to kitchens?","How would you rate the access system to laundresses?","How would you rate the access system to common areas (fitness, gym, etc.)?","How would you rate the internet service?","How would you rate police services?","How would you rate the organization of events in the dormitory?","We would like to hear about your experience living in a dormitory. Please share any specific problems or difficulties you have encountered!","Thank you for your participation in the research!
We will be glad if you appreciate the results of the survey."
"2024/02/18 1:10:14 PM GMT+1","Jedlíkova 13","Student","3","4","4","1","4","4","Internet for mobile is sooo bad",""
"2024/02/18 1:10:22 PM GMT+1","Jedlíkova 13","Student","3","5","5","4","5","5","-","5"
"2024/02/18 1:15:42 PM GMT+1","Jedlíkova 13","Student","5","1","3","5","5","4","i want free laundry machines to be returned and renewing fitness and gym areas","5"
"2024/02/18 1:17:44 PM GMT+1","Jedlíkova 5","Student","5","3","5","4","2","2","Z vratničkqmi problemy))","5"
"2024/02/18 1:19:35 PM GMT+1","Jedlíkova 5","Student","3","2","2","5","1","5","-","2"
"2024/02/18 1:20:24 PM GMT+1","Jedlíkova 5","Student","4","1","4","4","3","3","-","4"
"2024/02/18 1:25:23 PM GMT+1","Jedlíkova 9","Student","4","1","2","4","1","1","-","4"
"2024/02/18 1:28:46 PM GMT+1","Jedlíkova 9","Student","2","5","4","2","4","3","Internet vypadáva VEĽMI často. Aj keď ta rýchlosť je vysoka, ale často opakujúce sa výpadky ničia ten príjemný pocit z toho že mame gigabitový internet.

Akcii na internáte nie su až take časté, ale ich organizácia je v pohode. Preto som aj dal 3. Keby boli častejšie, určite by som dal viac bodov.

Prístupnosť kuchynky je ďaleká od ideálnej. Neda sa dostať kľúče hocikedy, ako v prípade s pračovňami. Otravovať ľudí o 6 rana, keď si chcem uvariť pred tym ako pôjdem do práce nie je najpríjemnejší pocit. Tak isto aj neskoro večer keby som si chcel uvariť, tak zodpovední za kuchynku už spia",""
"2024/02/18 1:34:04 PM GMT+1","Jedlíkova 5","Student","3","1","1","5","5","5","the key to the laundry room is always out","4"
"2024/02/18 1:34:22 PM GMT+1","Ferka Urbánka","Student","3","2","2","2","4","3","🤫🧏‍♂️","4"
